net,length_um
net2202,128.785µm
U_rf0.rd\[4\]\[20\],128.52µm
net1419,128.515µm
net1258,128.43µm
_0996_,128.43µm
net1719,128.42µm
_2894_,128.295µm
net2741,128.28µm
net1712,128.26µm
net1888,128.24µm
_3160_,128.08µm
net1173,127.91µm
_1193_,127.9µm
net1778,127.39µm
net2169,127.38µm
net2723,127.3µm
net1585,127.19µm
_1114_,127.01µm
clknet_leaf_17_clk,126.96µm
clknet_leaf_22_clk,126.94µm
u_wm0.u_dm.data_mem\[6\]\[14\],126.74µm
_1376_,126.65µm
net1189,126.58µm
net1927,126.28µm
net1275,126.25µm
net2815,126.12µm
net1184,125.68µm
net1335,125.58µm
_2856_,125.45µm
net1742,125.42µm
net1618,125.34µm
net1668,125.2µm
net2538,124.97µm
clknet_leaf_27_clk,124.78µm
net1415,124.68µm
_1103_,124.58µm
_2889_,124.54µm
_2674_,124.42µm
net2148,124.26µm
net1222,124.14µm
net1345,124.08µm
_1140_,124.02µm
_1887_,123.8µm
U_rf0.rd\[7\]\[9\],123.36µm
net2101,123.19µm
_0822_,123.13µm
U_rf0.rd\[4\]\[18\],123.02µm
clknet_leaf_23_clk,122.66µm
net1684,122.44µm
_1372_,121.94µm
_1691_,121.81µm
_2906_,121.76µm
net1327,121.73µm
net1877,121.7µm
net1268,121.67µm
net1580,121.56µm
net2045,121.56µm
net2387,121.4µm
_1632_,121.3µm
net1284,121.21µm
_2011_,120.99µm
net2194,120.66µm
net1233,120.46µm
net1340,120.35µm
net1106,120.32µm
net1294,120.3µm
_1603_,120.23µm
_1213_,119.94µm
_3263_,119.9µm
u_wm0.u_dm.data_mem\[2\]\[17\],119.78µm
_3047_,119.69µm
net1630,119.675µm
net2125,119.395µm
net1737,119.36µm
_3205_,119.26µm
net1680,119.1µm
net1295,118.94µm
_0972_,118.92µm
net1835,118.8µm
_3003_,118.21µm
net106,118.14µm
_1091_,117.75µm
_1926_,117.4µm
_2876_,117.36µm
_1298_,117.35µm
_2126_,117.23µm
net2115,117.08µm
pc\[9\],117.08µm
net2729,116.92µm
pc\[11\],116.86µm
net1093,116.58µm
net1303,116.48µm
net2547,116.43µm
_1125_,116.13µm
net1688,116.06µm
_3041_,115.8µm
net1815,115.77µm
_2858_,115.72µm
_0941_,115.42µm
U_rf0.rd\[4\]\[19\],115.4µm
_1877_,115.4µm
U_rf0.rd\[3\]\[8\],115.125µm
_1363_,115.06µm
net1779,114.99µm
net1840,114.76µm
net1250,114.68µm
net1961,114.665µm
u_wm0.u_dm.data_mem\[1\]\[16\],114.58µm
net1929,114.44µm
_2947_,114.3µm
net1216,114.015µm
_1293_,113.9µm
net1342,113.75µm
U_rf0.rd\[7\]\[27\],113.74µm
net1164,113.7µm
net1542,113.57µm
U_rf0.rd\[2\]\[13\],113.56µm
U_rf0.rd\[3\]\[24\],113.54µm
net1857,113.38µm
clknet_leaf_6_clk,113.315µm
net1676,113.3µm
_2980_,113.29µm
net2563,113.05µm
_3255_,112.71µm
net2751,112.54µm
U_rf0.rd\[4\]\[16\],112.26µm
pc\[21\],112.17µm
net1850,112.02µm
net1629,111.78µm
net2074,111.76µm
_2757_,111.66µm
U_rf0.rd\[7\]\[25\],111.58µm
net1544,111.44µm
U_rf0.rd\[6\]\[11\],111.35µm
net1729,111.305µm
net1238,111.14µm
pc\[0\],110.98µm
u_wm0.u_dm.data_mem\[10\]\[21\],110.88µm
U_rf0.rd\[7\]\[24\],110.86µm
_0859_,110.86µm
_2835_,110.78µm
net2077,110.74µm
_2633_,110.68µm
_1932_,110.63µm
net2146,110.54µm
net1825,110.48µm
U_rf0.rd\[4\]\[2\],110.4µm
_1996_,110.02µm
U_rf0.rd\[3\]\[22\],109.94µm
net1685,109.76µm
_1981_,109.75µm
net2121,109.63µm
net1384,108.94µm
net1746,108.845µm
_1011_,108.8µm
pc\[22\],108.78µm
net1934,108.64µm
net1692,108.36µm
_1184_,108.22µm
net2005,107.69µm
net1311,107.62µm
U_rf0.rd\[7\]\[23\],107.52µm
U_rf0.rd\[4\]\[17\],107.38µm
u_pc.pc\[29\],107.38µm
net1928,107.19µm
_3257_,107.08µm
net1279,107.08µm
net1145,106.98µm
_2553_,106.78µm
_1152_,106.56µm
_1871_,106.46µm
_2625_,106.37µm
net2407,106.11µm
_1046_,106.1µm
U_rf0.rd\[3\]\[5\],105.99µm
net1786,105.97µm
U_rf0.rd\[3\]\[20\],105.835µm
_1991_,105.54µm
net2109,105.505µm
net1188,105.46µm
u_wm0.u_dm.data_mem\[8\]\[20\],105.46µm
net1484,105.19µm
_1899_,105.19µm
_1682_,105.09µm
_2680_,105.06µm
_1895_,104.9µm
pc\[24\],104.9µm
u_wm0.u_dm.data_mem\[10\]\[13\],104.71µm
U_rf0.rd\[10\]\[12\],104.7µm
net2699,104.48µm
net1690,104.11µm
clknet_leaf_3_clk,103.915µm
net1291,103.5µm
pc\[10\],103.48µm
_3035_,103.44µm
u_wm0.u_dm.data_mem\[15\]\[17\],103.08µm
net2476,102.44µm
net1655,102.16µm
net2467,102.04µm
net1317,101.96µm
_1107_,101.8µm
net1967,101.8µm
U_rf0.rd\[3\]\[7\],101.63µm
net1153,101.48µm
_0943_,101.29µm
_2020_,101.17µm
_2827_,101.03µm
_2995_,100.14µm
u_wm0.u_dm.data_mem\[15\]\[19\],100.14µm
U_rf0.rd\[2\]\[21\],100.06µm
net1113,99.93µm
net1767,99.855µm
U_rf0.rd\[6\]\[8\],99.62µm
