Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_92_592,VGND,li1,278.5300,261.1200,0.000050
FILLER_92_589,VGND,li1,277.1500,261.1200,0.000055
FILLER_92_587,VGND,li1,275.7700,261.1200,0.000055
FILLER_92_542,VGND,li1,255.5300,261.1200,0.000056
FILLER_92_531,VGND,li1,250.0100,261.1200,0.000065
FILLER_92_501,VGND,li1,236.2100,261.1200,0.000091
FILLER_92_419,VGND,li1,198.4900,261.1200,0.000116
FILLER_92_363,VGND,li1,172.7300,261.1200,0.000077
FILLER_92_339,VGND,li1,162.1500,261.1200,0.000058
FILLER_92_305,VGND,li1,146.5100,261.1200,0.000067
FILLER_92_269,VGND,li1,129.9500,261.1200,0.000059
FILLER_92_253,VGND,li1,122.5900,261.1200,0.000077
FILLER_92_245,VGND,li1,118.9100,261.1200,0.000078
FILLER_92_214,VGND,li1,104.1900,261.1200,0.000059
FILLER_92_195,VGND,li1,95.4500,261.1200,0.000090
FILLER_92_184,VGND,li1,90.8500,261.1200,0.000107
FILLER_92_166,VGND,li1,82.3400,261.1200,0.000118
FILLER_92_118,VGND,li1,60.0300,261.1200,0.000170
FILLER_92_75,VGND,li1,40.2500,261.1200,0.000147
FILLER_92_3,VGND,li1,7.1300,261.1200,0.000082
FILLER_91_602,VGND,li1,282.6700,261.1200,0.000044
FILLER_91_599,VGND,li1,281.7500,261.1200,0.000044
FILLER_91_581,VGND,li1,273.0100,261.1200,0.000058
FILLER_91_561,VGND,li1,263.8100,261.1200,0.000061
FILLER_91_557,VGND,li1,262.4300,261.1200,0.000061
FILLER_91_541,VGND,li1,254.8400,261.1200,0.000056
FILLER_91_517,VGND,li1,243.8000,261.1200,0.000080
FILLER_91_514,VGND,li1,242.6500,261.1200,0.000080
FILLER_91_487,VGND,li1,230.0000,261.1200,0.000082
FILLER_91_391,VGND,li1,185.6100,261.1200,0.000095
FILLER_91_371,VGND,li1,176.8700,261.1200,0.000083
FILLER_91_345,VGND,li1,164.4500,261.1200,0.000054
FILLER_91_333,VGND,li1,159.3900,261.1200,0.000066
