Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_91_94,VPWR,li1,49.2200,258.4000,1.799914
FILLER_91_85,VPWR,li1,44.8500,258.4000,1.799925
FILLER_91_71,VPWR,li1,38.6400,258.4000,1.799929
FILLER_91_60,VPWR,li1,33.5800,258.4000,1.799919
FILLER_91_57,VPWR,li1,32.4300,258.4000,1.799915
FILLER_91_54,VPWR,li1,30.8200,258.4000,1.799915
FILLER_91_26,VPWR,li1,17.9400,258.4000,1.799934
FILLER_91_6,VPWR,li1,8.9700,258.4000,1.799962
FILLER_91_3,VPWR,li1,7.5900,258.4000,1.799962
FILLER_90_592,VPWR,li1,278.5300,258.4000,1.799949
FILLER_90_589,VPWR,li1,277.1500,258.4000,1.799941
FILLER_90_568,VPWR,li1,267.4900,258.4000,1.799919
FILLER_90_565,VPWR,li1,266.1100,258.4000,1.799919
FILLER_90_512,VPWR,li1,241.7300,258.4000,1.799828
FILLER_90_499,VPWR,li1,235.2900,258.4000,1.799795
FILLER_90_442,VPWR,li1,209.0700,258.4000,1.799808
FILLER_90_421,VPWR,li1,199.4100,258.4000,1.799826
FILLER_90_410,VPWR,li1,194.5800,258.4000,1.799860
FILLER_90_390,VPWR,li1,185.6100,258.4000,1.799887
FILLER_90_309,VPWR,li1,148.1200,258.4000,1.799913
FILLER_90_306,VPWR,li1,146.7400,258.4000,1.799913
FILLER_90_261,VPWR,li1,126.0400,258.4000,1.799932
FILLER_90_197,VPWR,li1,96.3700,258.4000,1.799917
FILLER_90_95,VPWR,li1,49.6800,258.4000,1.799914
FILLER_90_85,VPWR,li1,45.0800,258.4000,1.799925
FILLER_90_73,VPWR,li1,39.5600,258.4000,1.799929
FILLER_90_54,VPWR,li1,30.8200,258.4000,1.799915
FILLER_89_611,VPWR,li1,286.8100,252.9600,1.799923
FILLER_89_578,VPWR,li1,271.8600,252.9600,1.799902
FILLER_89_557,VPWR,li1,262.4300,252.9600,1.799894
FILLER_89_554,VPWR,li1,261.0500,252.9600,1.799893
FILLER_89_508,VPWR,li1,239.6600,252.9600,1.799898
FILLER_89_505,VPWR,li1,238.5100,252.9600,1.799898
FILLER_89_503,VPWR,li1,237.1300,252.9600,1.799895
FILLER_89_457,VPWR,li1,216.4300,252.9600,1.799887
FILLER_89_447,VPWR,li1,211.3700,252.9600,1.799879
FILLER_89_415,VPWR,li1,197.1100,252.9600,1.799880
FILLER_89_397,VPWR,li1,188.3700,252.9600,1.799876
FILLER_89_365,VPWR,li1,173.6500,252.9600,1.799836
FILLER_89_334,VPWR,li1,159.6200,252.9600,1.799886
FILLER_89_281,VPWR,li1,135.4700,252.9600,1.799852
FILLER_89_260,VPWR,li1,125.3500,252.9600,1.799874
FILLER_89_234,VPWR,li1,113.3900,252.9600,1.799866
FILLER_89_222,VPWR,li1,108.1000,252.9600,1.799877
FILLER_89_179,VPWR,li1,88.3200,252.9600,1.799872
FILLER_89_169,VPWR,li1,83.4900,252.9600,1.799881
FILLER_89_166,VPWR,li1,82.3400,252.9600,1.799881
FILLER_89_152,VPWR,li1,75.6700,252.9600,1.799903
FILLER_89_137,VPWR,li1,69.0000,252.9600,1.799932
FILLER_89_93,VPWR,li1,48.7600,252.9600,1.799879
FILLER_89_57,VPWR,li1,32.2000,252.9600,1.799819
FILLER_89_55,VPWR,li1,31.0500,252.9600,1.799819
FILLER_89_28,VPWR,li1,19.0900,252.9600,1.799866
FILLER_88_597,VPWR,li1,280.3700,252.9600,1.799932
FILLER_88_561,VPWR,li1,263.8100,252.9600,1.799894
FILLER_88_558,VPWR,li1,262.8900,252.9600,1.799894
FILLER_88_531,VPWR,li1,250.0100,252.9600,1.799920
